ecoregion,bandsname,Train R2,Test R2,Synergy Gain
I18,LandCover:,0.0635,0.0524,0
I18,Basic_Index+Texture:,0.9204,0.7037,0.0941
I18,Basic_Index+Temporal:,0.9367,0.7569,0.432
I18,Basic_Index+Climate:,0.9109,0.6517,0.2691
I18,Basic_Index+Topography:,0.8942,0.6881,0.1962
I18,Basic_Index+SocioEconomic:,0.9135,0.6833,0.3051
I18,Basic_Index+LandCover:,0.8832,0.6378,0.2943
I18,Texture+Temporal:,0.9129,0.6421,0.3423
I18,Texture+Climate:,0.9081,0.5996,0.2421
I18,Texture+Topography:,0.9098,0.7056,0.2387
I18,Texture+SocioEconomic:,0.8966,0.6213,0.2681
I18,Texture+LandCover:,0.891,0.5978,0.2793
I18,Temporal+Climate:,0.6213,0.1117,0.0389
I18,Temporal+Topography:,0.5197,0.2484,0.0663
I18,Temporal+SocioEconomic:,0.4752,0.1077,0.0393
I18,Temporal+LandCover:,0.463,0.0546,0.0209
I18,Climate+Topography:,0.5714,0.3033,0.0635
I18,Climate+SocioEconomic:,0.5704,0.1624,0.0363
I18,Climate+LandCover:,0.5644,0.1384,0.047
I18,Topography+SocioEconomic:,0.5179,0.3375,0.102
I18,Topography+LandCover:,0.5356,0.3841,0.1833
I18,SocioEconomic+LandCover:,0.3933,0.098,0.0109
I18,Basic_Index+Texture+Temporal:,0.934,0.7734,0.3619
I18,Basic_Index+Texture+Climate:,0.9295,0.6984,0.2485
I18,Basic_Index+Texture+Topography:,0.9201,0.7545,0.2317
I18,Basic_Index+Texture+SocioEconomic:,0.9235,0.7183,0.2713
I18,Basic_Index+Texture+LandCover:,0.9211,0.7077,0.2838
I18,Basic_Index+Temporal+Climate:,0.9349,0.7404,0.4803
I18,Basic_Index+Temporal+Topography:,0.9296,0.7606,0.4276
I18,Basic_Index+Temporal+SocioEconomic:,0.9384,0.7604,0.5032
I18,Basic_Index+Temporal+LandCover:,0.936,0.7601,0.526
I18,Basic_Index+Climate+Topography:,0.9033,0.6875,0.316
I18,Basic_Index+Climate+SocioEconomic:,0.9146,0.6543,0.3586
I18,Basic_Index+Climate+LandCover:,0.9112,0.6512,0.3787
I18,Basic_Index+Topography+SocioEconomic:,0.9061,0.7148,0.3463
I18,Basic_Index+Topography+LandCover:,0.894,0.6887,0.3433
I18,Basic_Index+SocioEconomic+LandCover:,0.9147,0.6838,0.4142
I18,Texture+Temporal+Climate:,0.9168,0.6464,0.403
I18,Texture+Temporal+Topography:,0.9191,0.7196,0.4033
I18,Texture+Temporal+SocioEconomic:,0.9144,0.653,0.4125
I18,Texture+Temporal+LandCover:,0.9133,0.6487,0.4313
I18,Texture+Climate+Topography:,0.9082,0.6925,0.3378
I18,Texture+Climate+SocioEconomic:,0.9092,0.5985,0.3196
I18,Texture+Climate+LandCover:,0.9098,0.6007,0.3448
I18,Texture+Topography+SocioEconomic:,0.9118,0.7115,0.3596
I18,Texture+Topography+LandCover:,0.909,0.706,0.3773
I18,Texture+SocioEconomic+LandCover:,0.8978,0.6253,0.3724
I18,Temporal+Climate+Topography:,0.5821,0.2615,0.0966
I18,Temporal+Climate+SocioEconomic:,0.6117,0.126,0.0368
I18,Temporal+Climate+LandCover:,0.6159,0.1256,0.0596
I18,Temporal+Topography+SocioEconomic:,0.5379,0.2868,0.1248
I18,Temporal+Topography+LandCover:,0.5446,0.2843,0.1453
I18,Temporal+SocioEconomic+LandCover:,0.4927,0.0928,0.0297
I18,Climate+Topography+SocioEconomic:,0.5622,0.3123,0.1118
I18,Climate+Topography+LandCover:,0.5783,0.3176,0.1402
I18,Climate+SocioEconomic+LandCover:,0.5682,0.166,0.0645
I18,Topography+SocioEconomic+LandCover:,0.5456,0.3489,0.1745
I19,Basic_Index:,0.7803,0.5916,0
I19,Texture:,0.7641,0.4888,0
I19,Temporal:,0.2496,-0.0028,0
I19,Climate:,0.3832,0.1559,0
I19,Topography:,0.3384,0.2621,0
I19,SocioEconomic:,0.3579,0.1056,0
I19,LandCover:,0.0635,0.0485,0
I19,Basic_Index+Texture:,0.8629,0.6308,0.0906
I19,Basic_Index+Temporal:,0.8758,0.7047,0.4103
I19,Basic_Index+Climate:,0.8712,0.6662,0.2925
I19,Basic_Index+Topography:,0.8211,0.6142,0.1874
I19,Basic_Index+SocioEconomic:,0.8573,0.6689,0.3203
I19,Basic_Index+LandCover:,0.7836,0.6037,0.2837
I19,Texture+Temporal:,0.7994,0.5179,0.2749
I19,Texture+Climate:,0.8015,0.5631,0.2407
I19,Texture+Topography:,0.7911,0.551,0.1756
I19,Texture+SocioEconomic:,0.7974,0.5701,0.2729
I19,Texture+LandCover:,0.7647,0.5013,0.2327
I19,Temporal+Climate:,0.4516,0.1552,0.0787
I19,Temporal+Topography:,0.3733,0.1847,0.0551
I19,Temporal+SocioEconomic:,0.3944,0.1009,0.0495
I19,Temporal+LandCover:,0.316,0.059,0.0362
I19,Climate+Topography:,0.4474,0.2437,0.0347
I19,Climate+SocioEconomic:,0.4477,0.1739,0.0432
I19,Climate+LandCover:,0.3884,0.1777,0.0755
I19,Topography+SocioEconomic:,0.4565,0.2516,0.0677
I19,Topography+LandCover:,0.354,0.2549,0.0996
I19,SocioEconomic+LandCover:,0.355,0.1005,0.0235
I19,Basic_Index+Texture+Temporal:,0.8918,0.694,0.3348
I19,Basic_Index+Texture+Climate:,0.8922,0.6723,0.2602
I19,Basic_Index+Texture+Topography:,0.877,0.6462,0.1987
I19,Basic_Index+Texture+SocioEconomic:,0.8894,0.6861,0.2907
I19,Basic_Index+Texture+LandCover:,0.862,0.6309,0.2546
I19,Basic_Index+Temporal+Climate:,0.8852,0.7226,0.4744
I19,Basic_Index+Temporal+Topography:,0.8779,0.7185,0.4349
I19,Basic_Index+Temporal+SocioEconomic:,0.8896,0.7374,0.506
I19,Basic_Index+Temporal+LandCover:,0.8766,0.7085,0.4961
I19,Basic_Index+Climate+Topography:,0.8736,0.6708,0.3342
I19,Basic_Index+Climate+SocioEconomic:,0.8796,0.6897,0.4054
I19,Basic_Index+Climate+LandCover:,0.871,0.6687,0.4034
I19,Basic_Index+Topography+SocioEconomic:,0.8762,0.6806,0.3609
I19,Basic_Index+Topography+LandCover:,0.8221,0.6166,0.3158
I19,Basic_Index+SocioEconomic+LandCover:,0.859,0.679,0.4304
I19,Texture+Temporal+Climate:,0.8067,0.5601,0.3461
I19,Texture+Temporal+Topography:,0.8118,0.5606,0.3112
I19,Texture+Temporal+SocioEconomic:,0.8172,0.5786,0.3815
I19,Texture+Temporal+LandCover:,0.799,0.525,0.3468
I19,Texture+Climate+Topography:,0.807,0.5864,0.2842
I19,Texture+Climate+SocioEconomic:,0.8222,0.5948,0.3447
I19,Texture+Climate+LandCover:,0.8001,0.5735,0.3424
I19,Texture+Topography+SocioEconomic:,0.8202,0.6009,0.3154
I19,Texture+Topography+LandCover:,0.7926,0.5509,0.2844
I19,Texture+SocioEconomic+LandCover:,0.7983,0.5769,0.3626
I19,Temporal+Climate+Topography:,0.4843,0.224,0.0856
I19,Temporal+Climate+SocioEconomic:,0.4732,0.1716,0.0854
I19,Temporal+Climate+LandCover:,0.4603,0.1821,0.1149
I19,Temporal+Topography+SocioEconomic:,0.4621,0.2067,0.0851
I19,Temporal+Topography+LandCover:,0.4031,0.1848,0.0822
I19,Temporal+SocioEconomic+LandCover:,0.4042,0.1009,0.0505
I19,Climate+Topography+SocioEconomic:,0.487,0.2587,0.0842
I19,Climate+Topography+LandCover:,0.4468,0.2405,0.0851
I19,Climate+SocioEconomic+LandCover:,0.4437,0.1875,0.0842
I19,Topography+SocioEconomic+LandCover:,0.4551,0.2407,0.102
I20,Basic_Index:,0.7927,0.6595,0
I20,Texture:,0.7812,0.613,0
I20,Temporal:,0.3077,0.0771,0
I20,Climate:,0.3825,0.2292,0
I20,Topography:,0.5665,0.4373,0
I20,SocioEconomic:,0.3036,0.1478,0
I20,LandCover:,0.0803,0.0847,0
I20,Basic_Index+Texture:,0.8686,0.7209,0.0846
I20,Basic_Index+Temporal:,0.8811,0.7652,0.3969
I20,Basic_Index+Climate:,0.8609,0.7169,0.2726
I20,Basic_Index+Topography:,0.8507,0.7111,0.1626
I20,Basic_Index+SocioEconomic:,0.8324,0.7073,0.3037
I20,Basic_Index+LandCover:,0.8013,0.6676,0.2955
I20,Texture+Temporal:,0.8448,0.6713,0.3262
I20,Texture+Climate:,0.8335,0.6643,0.2432
I20,Texture+Topography:,0.8418,0.6976,0.1724
I20,Texture+SocioEconomic:,0.8071,0.6359,0.2554
I20,Texture+LandCover:,0.7845,0.6278,0.2789
I20,Temporal+Climate:,0.4437,0.2442,0.0911
I20,Temporal+Topography:,0.5562,0.3558,0.0986
I20,Temporal+SocioEconomic:,0.4162,0.1728,0.0603
I20,Temporal+LandCover:,0.3304,0.145,0.0641
I20,Climate+Topography:,0.5638,0.3565,0.0232
I20,Climate+SocioEconomic:,0.443,0.2651,0.0766
I20,Climate+LandCover:,0.3901,0.2447,0.0878
I20,Topography+SocioEconomic:,0.5576,0.3714,0.0789
I20,Topography+LandCover:,0.5458,0.4324,0.1714
I20,SocioEconomic+LandCover:,0.316,0.18,0.0638
I20,Basic_Index+Texture+Temporal:,0.9101,0.8007,0.3508
I20,Basic_Index+Texture+Climate:,0.8943,0.7667,0.2662
I20,Basic_Index+Texture+Topography:,0.8894,0.7493,0.1793
I20,Basic_Index+Texture+SocioEconomic:,0.8822,0.7408,0.2674
I20,Basic_Index+Texture+LandCover:,0.8726,0.7278,0.2754
I20,Basic_Index+Temporal+Climate:,0.8998,0.7841,0.4622
I20,Basic_Index+Temporal+Topography:,0.8982,0.7878,0.3964
I20,Basic_Index+Temporal+SocioEconomic:,0.8853,0.7747,0.4799
I20,Basic_Index+Temporal+LandCover:,0.8829,0.7677,0.494
I20,Basic_Index+Climate+Topography:,0.8741,0.741,0.299
I20,Basic_Index+Climate+SocioEconomic:,0.8653,0.7252,0.3797
I20,Basic_Index+Climate+LandCover:,0.863,0.72,0.3956
I20,Basic_Index+Topography+SocioEconomic:,0.8619,0.7293,0.3145
I20,Basic_Index+Topography+LandCover:,0.8537,0.7133,0.3195
I20,Basic_Index+SocioEconomic+LandCover:,0.8363,0.7112,0.4138
I20,Texture+Temporal+Climate:,0.8652,0.7012,0.3948
I20,Texture+Temporal+Topography:,0.8793,0.7212,0.3454
I20,Texture+Temporal+SocioEconomic:,0.8544,0.6794,0.4001
I20,Texture+Temporal+LandCover:,0.844,0.6852,0.4269
I20,Texture+Climate+Topography:,0.8577,0.712,0.2854
I20,Texture+Climate+SocioEconomic:,0.8441,0.6721,0.3421
I20,Texture+Climate+LandCover:,0.8321,0.6703,0.3614
I20,Texture+Topography+SocioEconomic:,0.8553,0.7062,0.3068
I20,Texture+Topography+LandCover:,0.8407,0.7009,0.3225
I20,Texture+SocioEconomic+LandCover:,0.8061,0.6427,0.3608
I20,Temporal+Climate+Topography:,0.5792,0.3612,0.1134
I20,Temporal+Climate+SocioEconomic:,0.4828,0.273,0.1216
I20,Temporal+Climate+LandCover:,0.4413,0.2664,0.1361
I20,Temporal+Topography+SocioEconomic:,0.5697,0.3531,0.1324
I20,Temporal+Topography+LandCover:,0.5475,0.3716,0.1719
I20,Temporal+SocioEconomic+LandCover:,0.4183,0.2095,0.1063
I20,Climate+Topography+SocioEconomic:,0.5801,0.3729,0.1015
I20,Climate+Topography+LandCover:,0.5539,0.3583,0.1079
I20,Climate+SocioEconomic+LandCover:,0.4386,0.2765,0.1227
I20,Topography+SocioEconomic+LandCover:,0.5491,0.3793,0.156
I21,Basic_Index:,0.7202,0.6646,0
I21,Texture:,0.6574,0.5878,0
I21,Temporal:,0.2373,0.0911,0
I21,Climate:,0.2621,0.1571,0
I21,Topography:,0.2242,0.1468,0
I21,SocioEconomic:,0.1511,0.0823,0
I21,LandCover:,0.0237,0.0267,0
I21,Basic_Index+Texture:,0.7844,0.7102,0.084
I21,Basic_Index+Temporal:,0.8407,0.7604,0.3825
I21,Basic_Index+Climate:,0.7878,0.7082,0.2973
I21,Basic_Index+Topography:,0.7498,0.6771,0.2714
I21,Basic_Index+SocioEconomic:,0.7627,0.6897,0.3162
I21,Basic_Index+LandCover:,0.7316,0.67,0.3244
I21,Texture+Temporal:,0.7562,0.6532,0.3138
I21,Texture+Climate:,0.7209,0.6301,0.2576
I21,Texture+Topography:,0.6858,0.6072,0.2399
I21,Texture+SocioEconomic:,0.6932,0.6103,0.2752
I21,Texture+LandCover:,0.6694,0.5946,0.2873
I21,Temporal+Climate:,0.3482,0.1815,0.0574
I21,Temporal+Topography:,0.3068,0.157,0.0381
I21,Temporal+SocioEconomic:,0.2758,0.1411,0.0544
I21,Temporal+LandCover:,0.2523,0.1201,0.0612
I21,Climate+Topography:,0.312,0.1886,0.0367
I21,Climate+SocioEconomic:,0.2772,0.1668,0.0471
I21,Climate+LandCover:,0.2692,0.1696,0.0777
I21,Topography+SocioEconomic:,0.2335,0.1413,0.0267
I21,Topography+LandCover:,0.2279,0.1558,0.0691
I21,SocioEconomic+LandCover:,0.1478,0.0894,0.0349
I21,Basic_Index+Texture+Temporal:,0.8611,0.7818,0.3339
I21,Basic_Index+Texture+Climate:,0.8229,0.7433,0.2734
I21,Basic_Index+Texture+Topography:,0.799,0.7191,0.2527
I21,Basic_Index+Texture+SocioEconomic:,0.8068,0.7284,0.2834
I21,Basic_Index+Texture+LandCover:,0.7909,0.7148,0.2884
I21,Basic_Index+Temporal+Climate:,0.8588,0.7762,0.4719
I21,Basic_Index+Temporal+Topography:,0.8522,0.771,0.4702
I21,Basic_Index+Temporal+SocioEconomic:,0.8477,0.7667,0.4874
I21,Basic_Index+Temporal+LandCover:,0.8417,0.7613,0.5005
I21,Basic_Index+Climate+Topography:,0.7984,0.7144,0.3916
I21,Basic_Index+Climate+SocioEconomic:,0.7923,0.7108,0.4095
I21,Basic_Index+Climate+LandCover:,0.7949,0.7105,0.4277
I21,Basic_Index+Topography+SocioEconomic:,0.7803,0.6999,0.402
I21,Basic_Index+Topography+LandCover:,0.7594,0.6794,0.4
I21,Basic_Index+SocioEconomic+LandCover:,0.7703,0.6936,0.4358
I21,Texture+Temporal+Climate:,0.7753,0.6722,0.3936
I21,Texture+Temporal+Topography:,0.7669,0.6684,0.3932
I21,Texture+Temporal+SocioEconomic:,0.7651,0.6618,0.408
I21,Texture+Temporal+LandCover:,0.757,0.6554,0.4202
I21,Texture+Climate+Topography:,0.7312,0.6407,0.3435
I21,Texture+Climate+SocioEconomic:,0.7216,0.635,0.3592
I21,Texture+Climate+LandCover:,0.727,0.6328,0.3756
I21,Texture+Topography+SocioEconomic:,0.7122,0.6282,0.3559
I21,Texture+Topography+LandCover:,0.6921,0.6142,0.3604
I21,Texture+SocioEconomic+LandCover:,0.7013,0.6151,0.3829
I21,Temporal+Climate+Topography:,0.3765,0.2189,0.0873
I21,Temporal+Climate+SocioEconomic:,0.3571,0.1926,0.0824
I21,Temporal+Climate+LandCover:,0.351,0.2,0.1084
I21,Temporal+Topography+SocioEconomic:,0.3182,0.1882,0.0815
I21,Temporal+Topography+LandCover:,0.3127,0.1751,0.0869
I21,Temporal+SocioEconomic+LandCover:,0.2856,0.1628,0.0962
I21,Climate+Topography+SocioEconomic:,0.3177,0.2006,0.0718
I21,Climate+Topography+LandCover:,0.3189,0.1992,0.089
I21,Climate+SocioEconomic+LandCover:,0.2814,0.1794,0.0907
I21,Topography+SocioEconomic+LandCover:,0.2334,0.1509,0.0657
I22,Basic_Index:,0.7426,0.656,0
I22,Texture:,0.6707,0.5625,0
I22,Temporal:,0.2441,0.0948,0
I22,Climate:,0.3503,0.2425,0
I22,Topography:,0.3873,0.3096,0
I22,SocioEconomic:,0.2654,0.1592,0
I22,LandCover:,0.0659,0.0731,0
I22,Basic_Index+Texture:,0.8169,0.7006,0.0913
I22,Basic_Index+Temporal:,0.8423,0.7429,0.3675
I22,Basic_Index+Climate:,0.824,0.724,0.2748
I22,Basic_Index+Topography:,0.7831,0.6849,0.2021
I22,Basic_Index+SocioEconomic:,0.7899,0.6984,0.2909
I22,Basic_Index+LandCover:,0.7581,0.6645,0.3
I22,Texture+Temporal:,0.7522,0.6178,0.2892
I22,Texture+Climate:,0.7454,0.6203,0.2178
I22,Texture+Topography:,0.7238,0.6053,0.1692
I22,Texture+SocioEconomic:,0.697,0.5929,0.232
I22,Texture+LandCover:,0.6861,0.5822,0.2644
I22,Temporal+Climate:,0.4114,0.2557,0.0871
I22,Temporal+Topography:,0.4042,0.2493,0.0471
I22,Temporal+SocioEconomic:,0.3815,0.2246,0.0976
I22,Temporal+LandCover:,0.2926,0.145,0.0611
I22,Climate+Topography:,0.4297,0.2786,0.0025
I22,Climate+SocioEconomic:,0.3819,0.25,0.0492
I22,Climate+LandCover:,0.3713,0.2585,0.1007
I22,Topography+SocioEconomic:,0.3947,0.2565,0.0221
I22,Topography+LandCover:,0.4012,0.3267,0.1354
I22,SocioEconomic+LandCover:,0.2932,0.187,0.0708
I22,Basic_Index+Texture+Temporal:,0.8727,0.7663,0.3285
I22,Basic_Index+Texture+Climate:,0.8601,0.746,0.259
I22,Basic_Index+Texture+Topography:,0.8308,0.7153,0.2059
I22,Basic_Index+Texture+SocioEconomic:,0.8324,0.7218,0.2626
I22,Basic_Index+Texture+LandCover:,0.8255,0.7061,0.2755
I22,Basic_Index+Temporal+Climate:,0.8648,0.7702,0.4391
I22,Basic_Index+Temporal+Topography:,0.8533,0.7524,0.3989
I22,Basic_Index+Temporal+SocioEconomic:,0.8442,0.7522,0.4489
I22,Basic_Index+Temporal+LandCover:,0.8458,0.7444,0.4698
I22,Basic_Index+Climate+Topography:,0.8311,0.7305,0.3278
I22,Basic_Index+Climate+SocioEconomic:,0.8307,0.729,0.3765
I22,Basic_Index+Climate+LandCover:,0.8274,0.7244,0.4006
I22,Basic_Index+Topography+SocioEconomic:,0.8035,0.7091,0.3341
I22,Basic_Index+Topography+LandCover:,0.7913,0.6887,0.3425
I22,Basic_Index+SocioEconomic+LandCover:,0.7959,0.7047,0.4087
I22,Texture+Temporal+Climate:,0.7829,0.6477,0.3478
I22,Texture+Temporal+Topography:,0.7817,0.6448,0.3225
I22,Texture+Temporal+SocioEconomic:,0.7618,0.6374,0.3653
I22,Texture+Temporal+LandCover:,0.7582,0.6266,0.3831
I22,Texture+Climate+Topography:,0.7643,0.6368,0.2652
I22,Texture+Climate+SocioEconomic:,0.7563,0.6264,0.305
I22,Texture+Climate+LandCover:,0.7483,0.6311,0.3384
I22,Texture+Topography+SocioEconomic:,0.7428,0.6265,0.2827
I22,Texture+Topography+LandCover:,0.7303,0.6162,0.3011
I22,Texture+SocioEconomic+LandCover:,0.7117,0.6077,0.3428
I22,Temporal+Climate+Topography:,0.4714,0.298,0.0824
I22,Temporal+Climate+SocioEconomic:,0.4276,0.2712,0.1057
I22,Temporal+Climate+LandCover:,0.4281,0.2786,0.1419
I22,Temporal+Topography+SocioEconomic:,0.4402,0.2846,0.0967
I22,Temporal+Topography+LandCover:,0.4205,0.2806,0.1215
I22,Temporal+SocioEconomic+LandCover:,0.3978,0.246,0.137
I22,Climate+Topography+SocioEconomic:,0.4436,0.2841,0.0469
I22,Climate+Topography+LandCover:,0.443,0.2926,0.0842
I22,Climate+SocioEconomic+LandCover:,0.4029,0.2686,0.1104
I22,Topography+SocioEconomic+LandCover:,0.4122,0.287,0.1064
I23,Basic_Index:,0.708,0.6321,0
I23,Texture:,0.6932,0.5814,0
I23,Temporal:,0.2591,0.1157,0
I23,Climate:,0.3485,0.2299,0
I23,Topography:,0.2459,0.159,0
I23,SocioEconomic:,0.2825,0.1548,0
I23,LandCover:,0.0369,0.0269,0
I23,Basic_Index+Texture:,0.7928,0.6859,0.0791
I23,Basic_Index+Temporal:,0.8439,0.7712,0.3973
I23,Basic_Index+Climate:,0.7998,0.7207,0.2896
I23,Basic_Index+Topography:,0.7356,0.6459,0.2503
I23,Basic_Index+SocioEconomic:,0.7831,0.7015,0.308
I23,Basic_Index+LandCover:,0.7133,0.6355,0.306
I23,Texture+Temporal:,0.7923,0.6794,0.3308
I23,Texture+Climate:,0.7566,0.6462,0.2405
I23,Texture+Topography:,0.7178,0.6118,0.2416
I23,Texture+SocioEconomic:,0.7346,0.6239,0.2558
I23,Texture+LandCover:,0.695,0.5863,0.2821
I23,Temporal+Climate:,0.3704,0.2412,0.0684
I23,Temporal+Topography:,0.3537,0.2188,0.0814
I23,Temporal+SocioEconomic:,0.329,0.1876,0.0524
I23,Temporal+LandCover:,0.3065,0.1647,0.0934
I23,Climate+Topography:,0.3819,0.25,0.0555
I23,Climate+SocioEconomic:,0.3646,0.2237,0.0313
I23,Climate+LandCover:,0.3583,0.2116,0.0832
I23,Topography+SocioEconomic:,0.3587,0.2059,0.0489
I23,Topography+LandCover:,0.2705,0.1775,0.0845
I23,SocioEconomic+LandCover:,0.2948,0.1545,0.0636
I23,Basic_Index+Texture+Temporal:,0.8673,0.8015,0.3584
I23,Basic_Index+Texture+Climate:,0.8301,0.7588,0.2777
I23,Basic_Index+Texture+Topography:,0.8018,0.7022,0.2447
I23,Basic_Index+Texture+SocioEconomic:,0.8179,0.7303,0.2742
I23,Basic_Index+Texture+LandCover:,0.7945,0.6886,0.2751
I23,Basic_Index+Temporal+Climate:,0.8541,0.7874,0.4615
I23,Basic_Index+Temporal+Topography:,0.8485,0.7816,0.4793
I23,Basic_Index+Temporal+SocioEconomic:,0.8494,0.778,0.4771
I23,Basic_Index+Temporal+LandCover:,0.846,0.7724,0.5141
I23,Basic_Index+Climate+Topography:,0.8074,0.7301,0.3898
I23,Basic_Index+Climate+SocioEconomic:,0.8098,0.7289,0.39
I23,Basic_Index+Climate+LandCover:,0.8024,0.7211,0.4247
I23,Basic_Index+Topography+SocioEconomic:,0.7912,0.71,0.3947
I23,Basic_Index+Topography+LandCover:,0.7376,0.6488,0.3761
I23,Basic_Index+SocioEconomic+LandCover:,0.7851,0.7011,0.4298
I23,Texture+Temporal+Climate:,0.7988,0.7036,0.3945
I23,Texture+Temporal+Topography:,0.8067,0.6903,0.405
I23,Texture+Temporal+SocioEconomic:,0.8003,0.6898,0.4058
I23,Texture+Temporal+LandCover:,0.7934,0.6817,0.4404
I23,Texture+Climate+Topography:,0.7699,0.6638,0.3403
I23,Texture+Climate+SocioEconomic:,0.7673,0.6532,0.3311
I23,Texture+Climate+LandCover:,0.7575,0.6485,0.3691
I23,Texture+Topography+SocioEconomic:,0.7508,0.6467,0.3483
I23,Texture+Topography+LandCover:,0.7186,0.6148,0.359
I23,Texture+SocioEconomic+LandCover:,0.7347,0.6273,0.3729
I23,Temporal+Climate+Topography:,0.3963,0.2834,0.1151
I23,Temporal+Climate+SocioEconomic:,0.3821,0.2451,0.0783
I23,Temporal+Climate+LandCover:,0.3881,0.2542,0.13
I23,Temporal+Topography+SocioEconomic:,0.3928,0.2533,0.1101
I23,Temporal+Topography+LandCover:,0.38,0.2449,0.1444
I23,Temporal+SocioEconomic+LandCover:,0.3673,0.2073,0.1081
I23,Climate+Topography+SocioEconomic:,0.398,0.2555,0.0742
I23,Climate+Topography+LandCover:,0.3919,0.2483,0.1097
I23,Climate+SocioEconomic+LandCover:,0.3784,0.2104,0.0732
I23,Topography+SocioEconomic+LandCover:,0.376,0.2213,0.1077
I24,Basic_Index:,0.7073,0.5645,0
I24,Texture:,0.5837,0.3053,0
I24,Temporal:,0.3293,0.0739,0
I24,Climate:,0.4823,0.2969,0
I24,Topography:,0.441,0.2756,0
I24,SocioEconomic:,0.3405,0.1753,0
I24,LandCover:,0.0379,0.0112,0
I24,Basic_Index+Texture:,0.7738,0.5814,0.1464
I24,Basic_Index+Temporal:,0.8366,0.691,0.3718
I24,Basic_Index+Climate:,0.816,0.6795,0.2488
I24,Basic_Index+Topography:,0.7799,0.6021,0.182
I24,Basic_Index+SocioEconomic:,0.7722,0.638,0.2681
I24,Basic_Index+LandCover:,0.716,0.5751,0.2872
I24,Texture+Temporal:,0.6839,0.3734,0.1838
I24,Texture+Climate:,0.7354,0.4839,0.1828
I24,Texture+Topography:,0.687,0.3824,0.092
I24,Texture+SocioEconomic:,0.6615,0.4019,0.1616
I24,Texture+LandCover:,0.6041,0.3192,0.161
I24,Temporal+Climate:,0.5533,0.322,0.1366
I24,Temporal+Topography:,0.4861,0.215,0.0403
I24,Temporal+SocioEconomic:,0.4004,0.1803,0.0557
I24,Temporal+LandCover:,0.3734,0.0909,0.0484
I24,Climate+Topography:,0.5527,0.3174,0.0312
I24,Climate+SocioEconomic:,0.517,0.3123,0.0762
I24,Climate+LandCover:,0.5043,0.3053,0.1513
I24,Topography+SocioEconomic:,0.4702,0.2445,0.0191
I24,Topography+LandCover:,0.448,0.2881,0.1447
I24,SocioEconomic+LandCover:,0.3603,0.1791,0.0858
I24,Basic_Index+Texture+Temporal:,0.8448,0.6933,0.3787
I24,Basic_Index+Texture+Climate:,0.8376,0.6838,0.2949
I24,Basic_Index+Texture+Topography:,0.8103,0.6117,0.2298
I24,Basic_Index+Texture+SocioEconomic:,0.7995,0.64,0.2916
I24,Basic_Index+Texture+LandCover:,0.7776,0.5853,0.2916
I24,Basic_Index+Temporal+Climate:,0.8627,0.7359,0.4241
I24,Basic_Index+Temporal+Topography:,0.8537,0.7076,0.403
I24,Basic_Index+Temporal+SocioEconomic:,0.8413,0.7071,0.4359
I24,Basic_Index+Temporal+LandCover:,0.839,0.6939,0.4774
I24,Basic_Index+Climate+Topography:,0.8271,0.6848,0.3058
I24,Basic_Index+Climate+SocioEconomic:,0.8189,0.6857,0.3402
I24,Basic_Index+Climate+LandCover:,0.8216,0.6821,0.3913
I24,Basic_Index+Topography+SocioEconomic:,0.8071,0.657,0.3185
I24,Basic_Index+Topography+LandCover:,0.7829,0.6076,0.3238
I24,Basic_Index+SocioEconomic+LandCover:,0.7764,0.6433,0.393
I24,Texture+Temporal+Climate:,0.768,0.5054,0.2801
I24,Texture+Temporal+Topography:,0.7415,0.4226,0.2043
I24,Texture+Temporal+SocioEconomic:,0.7166,0.4287,0.2438
I24,Texture+Temporal+LandCover:,0.6888,0.379,0.2489
I24,Texture+Climate+Topography:,0.7439,0.4878,0.1953
I24,Texture+Climate+SocioEconomic:,0.7444,0.4901,0.2309
I24,Texture+Climate+LandCover:,0.7387,0.4911,0.2867
I24,Texture+Topography+SocioEconomic:,0.7101,0.443,0.1909
I24,Texture+Topography+LandCover:,0.6899,0.3903,0.193
I24,Texture+SocioEconomic+LandCover:,0.6654,0.4057,0.2417
I24,Temporal+Climate+Topography:,0.5877,0.3395,0.124
I24,Temporal+Climate+SocioEconomic:,0.5657,0.3335,0.1514
I24,Temporal+Climate+LandCover:,0.5626,0.327,0.1996
I24,Temporal+Topography+SocioEconomic:,0.5055,0.2509,0.076
I24,Temporal+Topography+LandCover:,0.5005,0.2254,0.1052
I24,Temporal+SocioEconomic+LandCover:,0.4242,0.1929,0.1061
I24,Climate+Topography+SocioEconomic:,0.5655,0.3282,0.079
I24,Climate+Topography+LandCover:,0.5568,0.3209,0.1264
I24,Climate+SocioEconomic+LandCover:,0.528,0.3185,0.1573
I24,Topography+SocioEconomic+LandCover:,0.4757,0.2527,0.0987
I25,Basic_Index:,0.4695,0.4101,0
I25,Texture:,0.2203,0.1202,0
I25,Temporal:,0.1829,0.0755,0
I25,Climate:,0.3039,0.2274,0
I25,Topography:,0.2135,0.1389,0
I25,SocioEconomic:,0.2009,0.1382,0
I25,LandCover:,0.0359,0.0318,0
I25,Basic_Index+Texture:,0.5071,0.4277,0.1625
I25,Basic_Index+Temporal:,0.7002,0.5868,0.344
I25,Basic_Index+Climate:,0.6356,0.5549,0.2362
I25,Basic_Index+Topography:,0.5295,0.4483,0.1738
