ecoregion,bandsname,Train R2,Test R2,Synergy Gain
I03,Basic_Index:,0.5267,0.2785,0
I03,Texture:,0.5362,0.1634,0
I03,Temporal:,0.3469,0.0327,0
I03,Climate:,0.6581,0.4485,0
I03,Topography:,0.5315,0.3089,0
I03,SocioEconomic:,0.5658,0.3535,0
I03,LandCover:,0.095,0.0725,0
I03,Basic_Index+Texture:,0.6718,0.3385,0.1176
I03,Basic_Index+Temporal:,0.6919,0.372,0.2164
I03,Basic_Index+Climate:,0.8307,0.5985,0.2351
I03,Basic_Index+Topography:,0.6685,0.3863,0.0926
I03,Basic_Index+SocioEconomic:,0.7513,0.4789,0.1629
I03,Basic_Index+LandCover:,0.5379,0.3004,0.1249
I03,Texture+Temporal:,0.5937,0.2302,0.1322
I03,Texture+Climate:,0.7776,0.5067,0.2008
I03,Texture+Topography:,0.6124,0.2727,0.0365
I03,Texture+SocioEconomic:,0.7106,0.3845,0.1261
I03,Texture+LandCover:,0.5397,0.1751,0.0572
I03,Temporal+Climate:,0.6924,0.4159,0.1754
I03,Temporal+Topography:,0.4754,0.17,-0.0008
I03,Temporal+SocioEconomic:,0.6176,0.2972,0.1042
I03,Temporal+LandCover:,0.3854,0.1377,0.0852
I03,Climate+Topography:,0.6997,0.4562,0.0775
I03,Climate+SocioEconomic:,0.7064,0.461,0.06
I03,Climate+LandCover:,0.7078,0.5049,0.2444
I03,Topography+SocioEconomic:,0.6589,0.3849,0.0537
I03,Topography+LandCover:,0.448,0.2442,0.0535
I03,SocioEconomic+LandCover:,0.6116,0.4094,0.1964
I03,Basic_Index+Texture+Temporal:,0.7345,0.3973,0.2391
I03,Basic_Index+Texture+Climate:,0.8391,0.6029,0.3062
I03,Basic_Index+Texture+Topography:,0.7194,0.3933,0.1431
I03,Basic_Index+Texture+SocioEconomic:,0.7792,0.4864,0.2213
I03,Basic_Index+Texture+LandCover:,0.6735,0.339,0.1675
I03,Basic_Index+Temporal+Climate:,0.8507,0.6128,0.3596
I03,Basic_Index+Temporal+Topography:,0.7311,0.4151,0.2084
I03,Basic_Index+Temporal+SocioEconomic:,0.8048,0.5087,0.2872
I03,Basic_Index+Temporal+LandCover:,0.6918,0.377,0.2491
I03,Basic_Index+Climate+Topography:,0.8437,0.5977,0.2524
I03,Basic_Index+Climate+SocioEconomic:,0.8455,0.6044,0.2442
I03,Basic_Index+Climate+LandCover:,0.8334,0.6025,0.336
I03,Basic_Index+Topography+SocioEconomic:,0.7922,0.516,0.2023
I03,Basic_Index+Topography+LandCover:,0.6697,0.3852,0.1653
I03,Basic_Index+SocioEconomic+LandCover:,0.7539,0.4808,0.246
I03,Texture+Temporal+Climate:,0.7846,0.5235,0.3086
I03,Texture+Temporal+Topography:,0.6349,0.2861,0.1178
I03,Texture+Temporal+SocioEconomic:,0.7308,0.4022,0.219
