eco_region_id	eco_region_name	year	loss_area_km2	loss_area_ha	pixel_count	forest_area_2000_km2
8	I10	2009	287.08530695612745	28708.530695612746	375.2588235294118	57907.754303015776
8	I10	2010	309.8854088990197	30988.540889901968	404.5921568627451	57907.754303015776
8	I10	2011	258.89750755686276	25889.750755686277	336.7450980392157	57907.754303015776
8	I10	2012	491.8511775453426	49185.11775453426	634.4235294117647	57907.754303015776
8	I10	2013	506.32349038921564	50632.349038921566	660.3215686274509	57907.754303015776
8	I10	2014	405.26730580392166	40526.73058039216	528.0470588235294	57907.754303015776
8	I10	2015	421.7916404963231	42179.16404963231	549.3568627450979	57907.754303015776
8	I10	2016	428.32145898970555	42832.14589897056	558.2470588235293	57907.754303015776
8	I10	2017	529.3363554124996	52933.63554124996	687.5725490196078	57907.754303015776
8	I10	2018	526.3105554186268	52631.055541862675	683.3921568627451	57907.754303015776
8	I10	2019	494.853844252451	49485.3844252451	641.0039215686274	57907.754303015776
8	I10	2020	526.9534564634798	52695.34564634798	688.5294117647059	57907.754303015776
9	I11	2001	26.94373195955882	2694.3731959558822	32.72549019607843	10094.592804107231
9	I11	2002	27.89133459289216	2789.1334592892163	33.85882352941177	10094.592804107231
9	I11	2003	27.260394160294116	2726.0394160294118	33.26274509803922	10094.592804107231
9	I11	2004	20.691162488235296	2069.1162488235295	25.227450980392156	10094.592804107231
9	I11	2005	25.515749225490186	2551.5749225490185	31.090196078431372	10094.592804107231
9	I11	2006	13.68332225735294	1368.3322257352938	16.666666666666668	10094.592804107231
9	I11	2007	15.35926422156863	1535.926422156863	18.737254901960785	10094.592804107231
9	I11	2008	13.71318064485294	1371.3180644852941	16.780392156862746	10094.592804107231
9	I11	2009	18.0633646507353	1806.3364650735298	22.011764705882353	10094.592804107231
9	I11	2010	13.411712322058824	1341.1712322058825	16.38823529411765	10094.592804107231
9	I11	2011	16.410888551715686	1641.0888551715686	20.066666666666666	10094.592804107231
9	I11	2012	38.11388173431372	3811.3881734313723	46.196078431372555	10094.592804107231
9	I11	2013	28.533347622794118	2853.3347622794117	34.87843137254902	10094.592804107231
9	I11	2014	27.011662016176466	2701.1662016176465	33.03921568627451	10094.592804107231
9	I11	2015	58.684041910784295	5868.40419107843	71.83137254901962	10094.592804107231
9	I11	2016	43.775200994362734	4377.520099436273	53.46666666666666	10094.592804107231
9	I11	2017	30.745903075490205	3074.5903075490205	37.54509803921569	10094.592804107231
9	I11	2018	51.437429797058826	5143.742979705883	62.529411764705884	10094.592804107231
9	I11	2019	38.9276808110294	3892.7680811029395	47.55294117647059	10094.592804107231
9	I11	2020	47.83225821862745	4783.225821862745	58.38039215686275	10094.592804107231
10	I12	2001	77.47993127107844	7747.993127107844	95.53333333333333	34890.99880274105
10	I12	2002	76.83958801078428	7683.958801078428	95.05490196078432	34890.99880274105
10	I12	2003	91.5833241132353	9158.33241132353	113.48627450980392	34890.99880274105
10	I12	2004	75.80477851642158	7580.4778516421575	93.76470588235293	34890.99880274105
10	I12	2005	73.5309349639706	7353.093496397059	90.98823529411764	34890.99880274105
10	I12	2006	54.76279406	5476.279406	68	34890.99880274105
10	I12	2007	89.04279630686274	8904.279630686275	110.53725490196078	34890.99880274105
10	I12	2008	97.91053590906859	9791.053590906859	121.14117647058823	34890.99880274105
10	I12	2009	101.08844566519606	10108.844566519607	124.84705882352941	34890.99880274105
10	I12	2010	50.73057756249998	5073.057756249998	62.78823529411765	34890.99880274105
10	I12	2011	67.51810228063728	6751.810228063728	83.69803921568628	34890.99880274105
10	I12	2012	185.4109135024509	18541.09135024509	230.4392156862745	34890.99880274105
10	I12	2013	184.50639679705893	18450.63967970589	228.7764705882353	34890.99880274105
10	I12	2014	161.1017507370098	16110.17507370098	199.68627450980392	34890.99880274105
10	I12	2015	217.3003017674019	21730.03017674019	269.67058823529413	34890.99880274105
10	I12	2016	210.05326437990217	21005.326437990218	260.07450980392156	34890.99880274105
10	I12	2017	204.83295026029427	20483.295026029427	253.8392156862745	34890.99880274105
10	I12	2018	239.1582881676471	23915.82881676471	296.79607843137256	34890.99880274105
10	I12	2019	253.15523874975503	25315.523874975504	314.5882352941176	34890.99880274105
10	I12	2020	203.22556364387268	20322.556364387267	251.49019607843138	34890.99880274105
11	I14	2001	293.36543273284303	29336.543273284304	345.4745098039216	30759.83880551214
11	I14	2002	253.5105216002451	25351.052160024512	298.2078431372549	30759.83880551214
11	I14	2003	287.9165600767155	28791.656007671547	339.26274509803926	30759.83880551214
11	I14	2004	266.1325422715685	26613.254227156853	313.2392156862745	30759.83880551214
11	I14	2005	225.68381570637254	22568.381570637255	265.54509803921565	30759.83880551214
11	I14	2006	254.5210645563726	25452.106455637262	299.0156862745098	30759.83880551214
11	I14	2007	266.0760227911765	26607.60227911765	313.435294117647	30759.83880551214
11	I14	2008	266.22975398995095	26622.975398995095	313.51764705882346	30759.83880551214
11	I14	2009	291.98825140049024	29198.825140049023	343.8509803921569	30759.83880551214
11	I14	2010	279.0866077825979	27908.660778259793	328.6862745098039	30759.83880551214
11	I14	2011	244.84409542303902	24484.409542303903	288.59999999999997	30759.83880551214
11	I14	2012	344.52737814681325	34452.73781468133	405.5529411764706	30759.83880551214
11	I14	2013	367.1699338919113	36716.99338919113	432.5176470588235	30759.83880551214
11	I14	2014	281.2574813428921	28125.74813428921	331.16862745098047	30759.83880551214
11	I14	2015	298.2537215279411	29825.37215279411	351.11764705882354	30759.83880551214
11	I14	2016	258.6791087404412	25867.910874044122	304.52941176470586	30759.83880551214
11	I14	2017	265.81804982843147	26581.804982843147	312.87450980392157	30759.83880551214
11	I14	2018	341.2252934580875	34122.52934580875	401.6470588235294	30759.83880551214
11	I14	2019	285.6765255034315	28567.652550343148	336.20392156862744	30759.83880551214
11	I14	2020	304.4376445468137	30443.76445468137	358.5058823529411	30759.83880551214
12	I15	2001	347.3413154056374	34734.131540563736	415.07450980392156	170784.66755755135
12	I15	2002	419.8844928139714	41988.44928139714	501.9764705882353	170784.66755755135
12	I15	2003	427.899941419118	42789.994141911804	511.16862745098035	170784.66755755135
